Seed;Model_Architecture;Batch_Size;Init_Method;Pruning;Activation;Iterations;Gradient_Loss;PSNR
0;McMahan_CNN;1;xavier_normal_;small;ReLU;1200;0.018360137939453125;21.562262
0;McMahan_CNN;1;xavier_normal_;;ReLU;1200;0.0611453652381897;16.107855
0;McMahan_CNN;1;xavier_normal_;small;Sigmoid;1200;0.0;53.73002
0;McMahan_CNN;1;xavier_normal_;;Sigmoid;1200;1.1920928955078125e-07;38.500656
0;McMahan_CNN;1;xavier_uniform_;small;ReLU;1200;0.024163901805877686;21.058313
0;McMahan_CNN;1;xavier_uniform_;;ReLU;1200;0.07886797189712524;17.06116
0;McMahan_CNN;1;xavier_uniform_;small;Sigmoid;1200;1.1920928955078125e-07;53.606728
0;McMahan_CNN;1;xavier_uniform_;;Sigmoid;1200;1.1920928955078125e-07;38.57103
0;McMahan_CNN;1;kaiming_normal_;small;ReLU;1200;0.005146801471710205;24.05225
0;McMahan_CNN;1;kaiming_normal_;;ReLU;1200;0.00924837589263916;24.506271
0;McMahan_CNN;1;kaiming_normal_;small;Sigmoid;1200;1.1920928955078125e-07;27.729511
0;McMahan_CNN;1;kaiming_normal_;;Sigmoid;1200;1.1920928955078125e-07;27.811186
0;McMahan_CNN;1;kaiming_uniform_;small;ReLU;1200;0.009127914905548096;24.527685
0;McMahan_CNN;1;kaiming_uniform_;;ReLU;1200;0.009730696678161621;24.020393
0;McMahan_CNN;1;kaiming_uniform_;small;Sigmoid;1200;0.0;25.536903
0;McMahan_CNN;1;kaiming_uniform_;;Sigmoid;1200;1.1920928955078125e-07;25.545296
0;McMahan_CNN;2;xavier_normal_;small;ReLU;1200;0.04966139793395996;18.09673
0;McMahan_CNN;2;xavier_normal_;;ReLU;1200;0.11039048433303833;11.304446
0;McMahan_CNN;2;xavier_normal_;small;Sigmoid;1200;1.1920928955078125e-07;42.569046
0;McMahan_CNN;2;xavier_normal_;;Sigmoid;1200;6.556510925292969e-07;31.004286
0;McMahan_CNN;2;xavier_uniform_;small;ReLU;1200;0.03839147090911865;17.381527
0;McMahan_CNN;2;xavier_uniform_;;ReLU;1200;0.10257905721664429;12.187696
0;McMahan_CNN;2;xavier_uniform_;small;Sigmoid;1200;1.1920928955078125e-07;43.80921
0;McMahan_CNN;2;xavier_uniform_;;Sigmoid;1200;4.172325134277344e-07;32.684006
0;McMahan_CNN;2;kaiming_normal_;small;ReLU;1200;0.01061946153640747;22.185768
0;McMahan_CNN;2;kaiming_normal_;;ReLU;1200;0.018875718116760254;21.177593
0;McMahan_CNN;2;kaiming_normal_;small;Sigmoid;1200;1.1920928955078125e-07;26.26329
0;McMahan_CNN;2;kaiming_normal_;;Sigmoid;1200;5.960464477539063e-08;38.39514
0;McMahan_CNN;2;kaiming_uniform_;small;ReLU;1200;0.009946882724761963;22.220478
0;McMahan_CNN;2;kaiming_uniform_;;ReLU;1200;0.009719669818878174;21.210857
0;McMahan_CNN;2;kaiming_uniform_;small;Sigmoid;1200;2.384185791015625e-07;22.429771
0;McMahan_CNN;2;kaiming_uniform_;;Sigmoid;1200;1.1920928955078125e-07;23.506802
0;McMahan_CNN;4;xavier_normal_;small;ReLU;1200;0.07012403011322021;11.695488
0;McMahan_CNN;4;xavier_normal_;;ReLU;1200;0.10340112447738647;6.47686
0;McMahan_CNN;4;xavier_normal_;small;Sigmoid;1200;5.960464477539062e-07;20.034893
0;McMahan_CNN;4;xavier_normal_;;Sigmoid;1200;5.960464477539062e-07;20.882513
0;McMahan_CNN;4;xavier_uniform_;small;ReLU;1200;0.08956646919250488;7.71697
0;McMahan_CNN;4;xavier_uniform_;;ReLU;1200;0.11168712377548218;5.531652
0;McMahan_CNN;4;xavier_uniform_;small;Sigmoid;1200;7.152557373046875e-07;19.421654
0;McMahan_CNN;4;xavier_uniform_;;Sigmoid;1200;8.940696716308594e-07;19.753807
0;McMahan_CNN;4;kaiming_normal_;small;ReLU;1200;0.012068331241607666;18.410688
0;McMahan_CNN;4;kaiming_normal_;;ReLU;1200;0.022932469844818115;13.489876
0;McMahan_CNN;4;kaiming_normal_;small;Sigmoid;1200;2.384185791015625e-07;17.938578
0;McMahan_CNN;4;kaiming_normal_;;Sigmoid;1200;5.960464477539063e-08;18.269356
0;McMahan_CNN;4;kaiming_uniform_;small;ReLU;1200;0.014726638793945312;18.440342
0;McMahan_CNN;4;kaiming_uniform_;;ReLU;1200;0.024080634117126465;17.05486
0;McMahan_CNN;4;kaiming_uniform_;small;Sigmoid;1200;1.7881393432617188e-07;16.864925
0;McMahan_CNN;4;kaiming_uniform_;;Sigmoid;1200;1.7881393432617188e-07;17.753605
0;McMahan_CNN;8;xavier_normal_;small;ReLU;1200;0.09401732683181763;7.104883
0;McMahan_CNN;8;xavier_normal_;;ReLU;1200;0.10279780626296997;2.001566
0;McMahan_CNN;8;xavier_normal_;small;Sigmoid;1200;5.364418029785156e-07;19.20147
0;McMahan_CNN;8;xavier_normal_;;Sigmoid;1200;5.960464477539062e-07;19.12673
0;McMahan_CNN;8;xavier_uniform_;small;ReLU;1200;0.1268773078918457;3.9833302
0;McMahan_CNN;8;xavier_uniform_;;ReLU;1200;0.15275782346725464;-1.6077851
0;McMahan_CNN;8;xavier_uniform_;small;Sigmoid;1200;9.5367431640625e-07;17.753563
0;McMahan_CNN;8;xavier_uniform_;;Sigmoid;1200;1.3113021850585938e-06;18.60875
0;McMahan_CNN;8;kaiming_normal_;small;ReLU;1200;0.041653990745544434;14.117663
0;McMahan_CNN;8;kaiming_normal_;;ReLU;1200;0.04127472639083862;14.165499
0;McMahan_CNN;8;kaiming_normal_;small;Sigmoid;1200;2.980232238769531e-07;17.537617
0;McMahan_CNN;8;kaiming_normal_;;Sigmoid;1200;2.980232238769531e-07;17.487228
0;McMahan_CNN;8;kaiming_uniform_;small;ReLU;1200;0.04169356822967529;15.540493
0;McMahan_CNN;8;kaiming_uniform_;;ReLU;1200;0.055024802684783936;13.429121
0;McMahan_CNN;8;kaiming_uniform_;small;Sigmoid;1200;2.384185791015625e-07;16.579887
0;McMahan_CNN;8;kaiming_uniform_;;Sigmoid;1200;1.1920928955078125e-07;17.199347
0;McMahan_CNN;16;xavier_normal_;small;ReLU;1200;0.0868985652923584;2.000679
0;McMahan_CNN;16;xavier_normal_;;ReLU;1200;0.08671754598617554;-2.5888512
0;McMahan_CNN;16;xavier_normal_;small;Sigmoid;1200;3.5762786865234375e-07;13.706765
0;McMahan_CNN;16;xavier_normal_;;Sigmoid;1200;5.960464477539062e-07;14.013642
0;McMahan_CNN;16;xavier_uniform_;small;ReLU;1200;0.10675781965255737;2.8204706
0;McMahan_CNN;16;xavier_uniform_;;ReLU;1200;0.12592649459838867;-1.517281
0;McMahan_CNN;16;xavier_uniform_;small;Sigmoid;1200;4.172325134277344e-07;12.76462
0;McMahan_CNN;16;xavier_uniform_;;Sigmoid;1200;5.364418029785156e-07;13.484751
0;McMahan_CNN;16;kaiming_normal_;small;ReLU;1200;0.04393523931503296;10.295996
0;McMahan_CNN;16;kaiming_normal_;;ReLU;1200;0.04903304576873779;10.2533
0;McMahan_CNN;16;kaiming_normal_;small;Sigmoid;1200;5.960464477539063e-08;13.084097
0;McMahan_CNN;16;kaiming_normal_;;Sigmoid;1200;1.7881393432617188e-07;13.176968
0;McMahan_CNN;16;kaiming_uniform_;small;ReLU;1200;0.053782880306243896;11.483265
0;McMahan_CNN;16;kaiming_uniform_;;ReLU;1200;0.049250781536102295;11.077418
0;McMahan_CNN;16;kaiming_uniform_;small;Sigmoid;1200;0.0;12.275524
0;McMahan_CNN;16;kaiming_uniform_;;Sigmoid;1200;3.5762786865234375e-07;12.494025
0;Custom_ResNet;1;xavier_normal_;small;ReLU;1200;0.0074672698974609375;22.504227
0;Custom_ResNet;1;xavier_normal_;;ReLU;1200;0.017579376697540283;17.02223
0;Custom_ResNet;1;xavier_normal_;small;Sigmoid;1200;1.1920928955078125e-07;-0.81915545
0;Custom_ResNet;1;xavier_normal_;;Sigmoid;1200;1.1920928955078125e-07;-0.81915486
0;Custom_ResNet;1;xavier_uniform_;small;ReLU;1200;0.006107509136199951;24.743795
0;Custom_ResNet;1;xavier_uniform_;;ReLU;1200;0.01705104112625122;16.136364
0;Custom_ResNet;1;xavier_uniform_;small;Sigmoid;1200;-1.1920928955078125e-07;-0.8191561
0;Custom_ResNet;1;xavier_uniform_;;Sigmoid;1200;-1.1920928955078125e-07;-0.81915486
0;Custom_ResNet;1;kaiming_normal_;small;ReLU;1200;0.0006737709045410156;28.765318
0;Custom_ResNet;1;kaiming_normal_;;ReLU;1200;0.0012893080711364746;24.527445
0;Custom_ResNet;1;kaiming_normal_;small;Sigmoid;1200;0.0;-0.8191564
0;Custom_ResNet;1;kaiming_normal_;;Sigmoid;1200;5.960464477539063e-08;-0.8191564
0;Custom_ResNet;1;kaiming_uniform_;small;ReLU;1200;0.0008644461631774902;26.059914
0;Custom_ResNet;1;kaiming_uniform_;;ReLU;1200;0.0012863874435424805;21.967325
0;Custom_ResNet;1;kaiming_uniform_;;Sigmoid;1200;-1.1920928955078125e-07;-0.8191564
0;Custom_ResNet;2;xavier_normal_;small;ReLU;1200;0.012399375438690186;17.797543
0;Custom_ResNet;2;xavier_normal_;;ReLU;1200;0.02959895133972168;12.063116
0;Custom_ResNet;2;xavier_normal_;small;Sigmoid;1200;0.0;-0.9875734
0;Custom_ResNet;2;xavier_normal_;;Sigmoid;1200;-1.1920928955078125e-07;-0.9875734
0;Custom_ResNet;2;xavier_uniform_;small;ReLU;1200;0.01121973991394043;20.358479
0;Custom_ResNet;2;xavier_uniform_;;ReLU;1200;0.03388214111328125;10.721025
0;Custom_ResNet;2;xavier_uniform_;small;Sigmoid;1200;5.960464477539063e-08;-0.9875735
0;Custom_ResNet;2;xavier_uniform_;;Sigmoid;1200;5.960464477539063e-08;-0.9875734
0;Custom_ResNet;2;kaiming_normal_;small;ReLU;1200;0.0023305416107177734;19.609573
0;Custom_ResNet;2;kaiming_normal_;;ReLU;1200;0.0027898550033569336;18.279913
0;Custom_ResNet;2;kaiming_normal_;small;Sigmoid;1200;5.960464477539063e-08;-0.98757386
0;Custom_ResNet;2;kaiming_normal_;;Sigmoid;1200;5.960464477539063e-08;-0.98757386
0;Custom_ResNet;2;kaiming_uniform_;small;ReLU;1200;0.0019033551216125488;19.381386
0;Custom_ResNet;2;kaiming_uniform_;;ReLU;1200;0.0022104382514953613;19.494192
0;Custom_ResNet;2;kaiming_uniform_;small;Sigmoid;1200;0.0;-0.98757386
0;Custom_ResNet;2;kaiming_uniform_;;Sigmoid;1200;1.1920928955078125e-07;-0.98757386
0;Custom_ResNet;4;xavier_normal_;small;ReLU;1200;0.018387973308563232;11.289774
0;Custom_ResNet;4;xavier_normal_;;ReLU;1200;0.026240170001983643;8.808041
0;Custom_ResNet;4;xavier_normal_;small;Sigmoid;1200;5.960464477539063e-08;-0.9997398
0;Custom_ResNet;4;xavier_normal_;;Sigmoid;1200;5.960464477539063e-08;-0.9997398
0;Custom_ResNet;4;xavier_uniform_;small;ReLU;1200;0.011289596557617188;11.871726
0;Custom_ResNet;4;xavier_uniform_;;ReLU;1200;0.029886722564697266;9.173222
0;Custom_ResNet;4;xavier_uniform_;small;Sigmoid;1200;0.0;-0.9997398
0;Custom_ResNet;4;xavier_uniform_;;Sigmoid;1200;-1.1920928955078125e-07;-0.9997395
0;Custom_ResNet;4;kaiming_normal_;small;ReLU;1200;0.0018820762634277344;16.991175
0;Custom_ResNet;4;kaiming_normal_;;ReLU;1200;0.002984166145324707;14.967121
0;Custom_ResNet;4;kaiming_normal_;small;Sigmoid;1200;1.1920928955078125e-07;-0.9997399
0;Custom_ResNet;4;kaiming_normal_;;Sigmoid;1200;1.1920928955078125e-07;-0.9997399
0;Custom_ResNet;4;kaiming_uniform_;small;ReLU;1200;0.001975417137145996;16.096352
0;Custom_ResNet;4;kaiming_uniform_;;ReLU;1200;0.002051830291748047;11.962479
0;Custom_ResNet;4;kaiming_uniform_;small;Sigmoid;1200;0.0;-0.9997399
