Seed,Model_Architecture,Batch_Size,Init_Method,Activation,Iterations,Gradient_Loss,PSNR
0,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.047887325286865234,20.156383514404297
0,McMahan_CNN,1,xavier_normal_,Sigmoid,1200,5.960464477539063e-08,39.979156494140625
0,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.04184365272521973,15.736997604370117
0,McMahan_CNN,1,xavier_uniform_,Sigmoid,1200,1.1920928955078125e-07,39.90327835083008
0,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.010607719421386719,22.715547561645508
0,McMahan_CNN,1,kaiming_normal_,Sigmoid,1200,0.0,31.4999942779541
0,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.004891693592071533,21.233522415161133
0,McMahan_CNN,1,kaiming_uniform_,Sigmoid,1200,1.1920928955078125e-07,27.980783462524414
0,McMahan_CNN,2,xavier_normal_,ReLU,1200,0.06892228126525879,15.481817245483398
0,McMahan_CNN,2,xavier_normal_,Sigmoid,1200,2.980232238769531e-07,34.25010108947754
0,McMahan_CNN,2,xavier_uniform_,ReLU,1200,0.08399605751037598,12.872594356536865
0,McMahan_CNN,2,xavier_uniform_,Sigmoid,1200,2.980232238769531e-07,34.251953125
0,McMahan_CNN,2,kaiming_normal_,ReLU,1200,0.006224632263183594,22.89985466003418
0,McMahan_CNN,2,kaiming_normal_,Sigmoid,1200,1.1920928955078125e-07,26.361247062683105
0,McMahan_CNN,2,kaiming_uniform_,ReLU,1200,0.008485257625579834,16.69948387145996
0,McMahan_CNN,2,kaiming_uniform_,Sigmoid,1200,1.1920928955078125e-07,23.019381523132324
0,McMahan_CNN,4,xavier_normal_,ReLU,1200,0.05210316181182861,13.96064829826355
0,McMahan_CNN,4,xavier_normal_,Sigmoid,1200,9.5367431640625e-07,18.511324405670166
0,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.10215312242507935,5.502006769180298
0,McMahan_CNN,4,xavier_uniform_,Sigmoid,1200,9.5367431640625e-07,17.244123220443726
0,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.015437960624694824,12.651116609573364
0,McMahan_CNN,4,kaiming_normal_,Sigmoid,1200,1.7881393432617188e-07,17.77658224105835
0,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.018564343452453613,12.390133261680603
0,McMahan_CNN,4,kaiming_uniform_,Sigmoid,1200,3.5762786865234375e-07,17.289341688156128
0,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.10828465223312378,1.716327726840973
0,McMahan_CNN,8,xavier_normal_,Sigmoid,1200,8.940696716308594e-07,18.336846590042114
0,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.12156820297241211,4.50899675488472
0,McMahan_CNN,8,xavier_uniform_,Sigmoid,1200,8.940696716308594e-07,17.9117511510849
0,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.028540194034576416,13.33738911151886
0,McMahan_CNN,8,kaiming_normal_,Sigmoid,1200,2.980232238769531e-07,16.787814617156982
0,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.018530964851379395,13.511941909790039
0,McMahan_CNN,8,kaiming_uniform_,Sigmoid,1200,2.384185791015625e-07,16.547937035560608
0,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.08973467350006104,-0.8708858713507652
0,McMahan_CNN,16,xavier_normal_,Sigmoid,1200,7.152557373046875e-07,14.206973910331726
0,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.07878768444061279,4.672211825847626
0,McMahan_CNN,16,xavier_uniform_,Sigmoid,1200,5.960464477539062e-07,14.092917442321777
0,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.03190040588378906,9.980705797672272
0,McMahan_CNN,16,kaiming_normal_,Sigmoid,1200,2.384185791015625e-07,12.746448397636414
0,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.026017367839813232,11.674809992313385
0,McMahan_CNN,16,kaiming_uniform_,Sigmoid,1200,1.7881393432617188e-07,12.714439690113068
0,Custom_ResNet,1,xavier_normal_,ReLU,1200,0.00850135087966919,21.23050880432129
0,Custom_ResNet,1,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.8191564679145813
0,Custom_ResNet,1,xavier_uniform_,ReLU,1200,0.006890356540679932,21.900747299194336
0,Custom_ResNet,1,xavier_uniform_,Sigmoid,1200,5.960464477539063e-08,-0.8191548585891724
0,Custom_ResNet,1,kaiming_normal_,ReLU,1200,0.0005835294723510742,29.316274642944336
0,Custom_ResNet,1,kaiming_normal_,Sigmoid,1200,0.0,-0.8191564679145813
0,Custom_ResNet,1,kaiming_uniform_,ReLU,1200,0.0010157227516174316,23.027727127075195
0,Custom_ResNet,1,kaiming_uniform_,Sigmoid,1200,0.0,-0.8191564679145813
0,Custom_ResNet,2,xavier_normal_,ReLU,1200,0.020030558109283447,14.66541576385498
0,Custom_ResNet,2,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.9875737726688385
0,Custom_ResNet,2,xavier_uniform_,ReLU,1200,0.013067305088043213,16.8095064163208
0,Custom_ResNet,2,xavier_uniform_,Sigmoid,1200,0.0,-0.9875735938549042
0,Custom_ResNet,2,kaiming_normal_,ReLU,1200,0.001261293888092041,22.371673583984375
0,Custom_ResNet,2,kaiming_normal_,Sigmoid,1200,0.0,-0.9875739514827728
0,Custom_ResNet,2,kaiming_uniform_,ReLU,1200,0.0025453567504882812,19.155134201049805
0,Custom_ResNet,2,kaiming_uniform_,Sigmoid,1200,0.0,-0.9875739514827728
0,Custom_ResNet,4,xavier_normal_,ReLU,1200,0.017178475856781006,10.18916630744934
0,Custom_ResNet,4,xavier_normal_,Sigmoid,1200,0.0,-0.999739944934845
0,Custom_ResNet,4,xavier_uniform_,ReLU,1200,0.01700657606124878,10.199890375137329
0,Custom_ResNet,4,xavier_uniform_,Sigmoid,1200,0.0,-0.9997395873069763
0,Custom_ResNet,4,kaiming_normal_,ReLU,1200,0.0025449395179748535,15.078505516052246
0,Custom_ResNet,4,kaiming_normal_,Sigmoid,1200,5.960464477539063e-08,-0.9997400045394897
0,Custom_ResNet,4,kaiming_uniform_,ReLU,1200,0.002355217933654785,16.454773902893066
0,Custom_ResNet,4,kaiming_uniform_,Sigmoid,1200,-1.1920928955078125e-07,-0.9997400045394897
0,Custom_ResNet,8,xavier_normal_,ReLU,1200,0.029453516006469727,9.612559735774994
0,Custom_ResNet,8,xavier_normal_,Sigmoid,1200,0.0,-0.9843933880329132
0,Custom_ResNet,8,xavier_uniform_,ReLU,1200,0.029632508754730225,8.860132455825806
0,Custom_ResNet,8,xavier_uniform_,Sigmoid,1200,1.1920928955078125e-07,-0.984393298625946
0,Custom_ResNet,8,kaiming_normal_,ReLU,1200,0.004485130310058594,14.074536442756653
0,Custom_ResNet,8,kaiming_normal_,Sigmoid,1200,5.960464477539063e-08,-0.9843933880329132
0,Custom_ResNet,8,kaiming_uniform_,ReLU,1200,0.005664527416229248,11.812982320785522
0,Custom_ResNet,8,kaiming_uniform_,Sigmoid,1200,0.0,-0.9843933880329132
0,Custom_ResNet,16,xavier_normal_,ReLU,1200,0.025602281093597412,8.123903900384903
0,Custom_ResNet,16,xavier_normal_,Sigmoid,1200,0.0,-1.053327951580286
0,Custom_ResNet,16,xavier_uniform_,ReLU,1200,0.024846255779266357,7.314723640680313
0,Custom_ResNet,16,xavier_uniform_,Sigmoid,1200,5.960464477539063e-08,-1.053327951580286
0,Custom_ResNet,16,kaiming_normal_,ReLU,1200,0.004356503486633301,9.67705750465393
0,Custom_ResNet,16,kaiming_normal_,Sigmoid,1200,0.0,-1.053327951580286
0,Custom_ResNet,16,kaiming_uniform_,ReLU,1200,0.004786193370819092,9.228504329919815
0,Custom_ResNet,16,kaiming_uniform_,Sigmoid,1200,-1.1920928955078125e-07,-1.053327951580286
1,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.008840739727020264,21.895200729370117
1,McMahan_CNN,1,xavier_normal_,Sigmoid,1200,2.384185791015625e-07,42.24091339111328
1,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.020077645778656006,21.375978469848633
1,McMahan_CNN,1,xavier_uniform_,Sigmoid,1200,1.1920928955078125e-07,41.66335678100586
1,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.0013620853424072266,29.580333709716797
1,McMahan_CNN,1,kaiming_normal_,Sigmoid,1200,0.0,39.637062072753906
1,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.00619053840637207,24.197463989257812
1,McMahan_CNN,1,kaiming_uniform_,Sigmoid,1200,1.1920928955078125e-07,31.329193115234375
1,McMahan_CNN,2,xavier_normal_,ReLU,1200,0.05174738168716431,17.191277503967285
1,McMahan_CNN,2,xavier_normal_,Sigmoid,1200,3.5762786865234375e-07,34.17038917541504
1,McMahan_CNN,2,xavier_uniform_,ReLU,1200,0.027873098850250244,18.192358016967773
1,McMahan_CNN,2,xavier_uniform_,Sigmoid,1200,3.5762786865234375e-07,33.5957088470459
1,McMahan_CNN,2,kaiming_normal_,ReLU,1200,0.007357120513916016,22.998467445373535
1,McMahan_CNN,2,kaiming_normal_,Sigmoid,1200,1.1920928955078125e-07,25.944125175476074
1,McMahan_CNN,2,kaiming_uniform_,ReLU,1200,0.006421327590942383,22.6705265045166
1,McMahan_CNN,2,kaiming_uniform_,Sigmoid,1200,1.7881393432617188e-07,24.820639610290527
1,McMahan_CNN,4,xavier_normal_,ReLU,1200,0.03876996040344238,13.289282083511353
1,McMahan_CNN,4,xavier_normal_,Sigmoid,1200,6.556510925292969e-07,21.226112127304077
1,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.08402931690216064,0.5147852897644043
1,McMahan_CNN,4,xavier_uniform_,Sigmoid,1200,8.344650268554688e-07,20.09116244316101
1,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.013720512390136719,19.355306148529053
1,McMahan_CNN,4,kaiming_normal_,Sigmoid,1200,2.384185791015625e-07,17.638511657714844
1,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.007502496242523193,14.377128720283508
1,McMahan_CNN,4,kaiming_uniform_,Sigmoid,1200,2.980232238769531e-07,17.80498433113098
1,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.05624222755432129,6.236101895570755
1,McMahan_CNN,8,xavier_normal_,Sigmoid,1200,1.4901161193847656e-06,19.855448365211487
1,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.09201204776763916,-1.4129483103752136
1,McMahan_CNN,8,xavier_uniform_,Sigmoid,1200,8.344650268554688e-07,19.564433813095093
1,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.021663188934326172,14.23842477798462
1,McMahan_CNN,8,kaiming_normal_,Sigmoid,1200,2.384185791015625e-07,16.88729441165924
1,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.013780832290649414,13.02399230003357
1,McMahan_CNN,8,kaiming_uniform_,Sigmoid,1200,2.384185791015625e-07,16.862213492393494
1,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.05235564708709717,1.6570087410509586
1,McMahan_CNN,16,xavier_normal_,Sigmoid,1200,8.940696716308594e-07,13.966071248054504
1,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.06523525714874268,0.9830492818437051
1,McMahan_CNN,16,xavier_uniform_,Sigmoid,1200,8.344650268554688e-07,13.455097734928131
1,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.0350530743598938,10.57078754901886
1,McMahan_CNN,16,kaiming_normal_,Sigmoid,1200,2.980232238769531e-07,12.377079963684082
1,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.018792808055877686,12.468292117118835
1,McMahan_CNN,16,kaiming_uniform_,Sigmoid,1200,2.384185791015625e-07,12.22913771867752
1,Custom_ResNet,1,xavier_normal_,ReLU,1200,0.006955921649932861,21.329973220825195
1,Custom_ResNet,1,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.8155758380889893
1,Custom_ResNet,1,xavier_uniform_,ReLU,1200,0.013588249683380127,16.92156219482422
1,Custom_ResNet,1,xavier_uniform_,Sigmoid,1200,0.0,-0.8155758380889893
1,Custom_ResNet,1,kaiming_normal_,ReLU,1200,0.001401066780090332,21.21767807006836
1,Custom_ResNet,1,kaiming_normal_,Sigmoid,1200,0.0,-0.8155767917633057
1,Custom_ResNet,1,kaiming_uniform_,ReLU,1200,0.0012527108192443848,22.69193458557129
1,Custom_ResNet,1,kaiming_uniform_,Sigmoid,1200,-1.1920928955078125e-07,-0.8155767917633057
1,Custom_ResNet,2,xavier_normal_,ReLU,1200,0.0076555609703063965,19.043705940246582
1,Custom_ResNet,2,xavier_normal_,Sigmoid,1200,0.0,-1.0110796093940735
1,Custom_ResNet,2,xavier_uniform_,ReLU,1200,0.018941223621368408,14.047456741333008
1,Custom_ResNet,2,xavier_uniform_,Sigmoid,1200,0.0,-1.0110797882080078
1,Custom_ResNet,2,kaiming_normal_,ReLU,1200,0.0021500587463378906,16.509953498840332
1,Custom_ResNet,2,kaiming_normal_,Sigmoid,1200,-1.1920928955078125e-07,-1.0110797882080078
1,Custom_ResNet,2,kaiming_uniform_,ReLU,1200,0.001784682273864746,19.916401863098145
1,Custom_ResNet,2,kaiming_uniform_,Sigmoid,1200,0.0,-1.0110797882080078
1,Custom_ResNet,4,xavier_normal_,ReLU,1200,0.010066866874694824,14.827395915985107
1,Custom_ResNet,4,xavier_normal_,Sigmoid,1200,0.0,-1.046085074543953
1,Custom_ResNet,4,xavier_uniform_,ReLU,1200,0.016854286193847656,12.200087070465088
1,Custom_ResNet,4,xavier_uniform_,Sigmoid,1200,0.0,-1.046085074543953
1,Custom_ResNet,4,kaiming_normal_,ReLU,1200,0.0025320053100585938,14.365116596221924
1,Custom_ResNet,4,kaiming_normal_,Sigmoid,1200,0.0,-1.046085074543953
1,Custom_ResNet,4,kaiming_uniform_,ReLU,1200,0.002448737621307373,12.355626702308655
1,Custom_ResNet,4,kaiming_uniform_,Sigmoid,1200,0.0,-1.046085074543953
1,Custom_ResNet,8,xavier_normal_,ReLU,1200,0.026996850967407227,10.025219678878784
1,Custom_ResNet,8,xavier_normal_,Sigmoid,1200,5.960464477539063e-08,-0.981696367263794
1,Custom_ResNet,8,xavier_uniform_,ReLU,1200,0.02402174472808838,10.401017546653748
1,Custom_ResNet,8,xavier_uniform_,Sigmoid,1200,-1.1920928955078125e-07,-0.981696367263794
1,Custom_ResNet,8,kaiming_normal_,ReLU,1200,0.004131972789764404,10.691505372524261
1,Custom_ResNet,8,kaiming_normal_,Sigmoid,1200,0.0,-0.981696367263794
1,Custom_ResNet,8,kaiming_uniform_,ReLU,1200,0.005193054676055908,11.316012561321259
1,Custom_ResNet,8,kaiming_uniform_,Sigmoid,1200,5.960464477539063e-08,-0.981696367263794
1,Custom_ResNet,16,xavier_normal_,ReLU,1200,0.023804187774658203,7.880884438753128
1,Custom_ResNet,16,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-1.033108178526163
1,Custom_ResNet,16,xavier_uniform_,ReLU,1200,0.023752152919769287,7.958524405956268
1,Custom_ResNet,16,xavier_uniform_,Sigmoid,1200,0.0,-1.033108178526163
1,Custom_ResNet,16,kaiming_normal_,ReLU,1200,0.004914045333862305,8.22460389137268
1,Custom_ResNet,16,kaiming_normal_,Sigmoid,1200,0.0,-1.033108178526163
1,Custom_ResNet,16,kaiming_uniform_,ReLU,1200,0.003795444965362549,9.878934979438782
1,Custom_ResNet,16,kaiming_uniform_,Sigmoid,1200,0.0,-1.033108178526163
2,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.04108405113220215,18.78990364074707
2,McMahan_CNN,1,xavier_normal_,Sigmoid,1200,1.7881393432617188e-07,38.590240478515625
2,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.02588874101638794,17.740741729736328
2,McMahan_CNN,1,xavier_uniform_,Sigmoid,1200,5.960464477539063e-08,41.79624938964844
2,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.0030864477157592773,27.450023651123047
2,McMahan_CNN,1,kaiming_normal_,Sigmoid,1200,0.0,29.050006866455078
2,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.003206312656402588,23.851184844970703
