Seed,Model_Architecture,Batch_Size,Init_Method,Activation,Iterations,Gradient_Loss,PSNR
0,McMahan_CNN,1,xavier_normal_,Sigmoid,1200,5.960464477539064e-08,39.97915649414063
0,McMahan_CNN,1,xavier_uniform_,Sigmoid,1200,1.1920928955078125e-07,39.90327835083008
0,McMahan_CNN,1,kaiming_normal_,Sigmoid,1200,0.0,31.4999942779541
0,McMahan_CNN,1,kaiming_uniform_,Sigmoid,1200,1.1920928955078125e-07,27.98078346252441
0,McMahan_CNN,2,xavier_normal_,Sigmoid,1200,2.980232238769531e-07,34.25010108947754
0,McMahan_CNN,2,xavier_uniform_,Sigmoid,1200,2.980232238769531e-07,34.251953125
0,McMahan_CNN,2,kaiming_normal_,Sigmoid,1200,1.1920928955078125e-07,26.361247062683105
0,McMahan_CNN,2,kaiming_uniform_,Sigmoid,1200,1.1920928955078125e-07,23.019381523132324
0,McMahan_CNN,4,xavier_normal_,Sigmoid,1200,9.5367431640625e-07,18.51132440567017
0,McMahan_CNN,4,xavier_uniform_,Sigmoid,1200,9.5367431640625e-07,17.244123220443726
0,McMahan_CNN,4,kaiming_normal_,Sigmoid,1200,1.788139343261719e-07,17.77658224105835
0,McMahan_CNN,4,kaiming_uniform_,Sigmoid,1200,3.5762786865234375e-07,17.289341688156128
0,McMahan_CNN,8,xavier_normal_,Sigmoid,1200,8.940696716308594e-07,18.336846590042114
0,McMahan_CNN,8,xavier_uniform_,Sigmoid,1200,8.940696716308594e-07,17.9117511510849
0,McMahan_CNN,8,kaiming_normal_,Sigmoid,1200,2.980232238769531e-07,16.787814617156982
0,McMahan_CNN,8,kaiming_uniform_,Sigmoid,1200,2.384185791015625e-07,16.547937035560608
0,McMahan_CNN,16,xavier_normal_,Sigmoid,1200,7.152557373046875e-07,14.206973910331726
0,McMahan_CNN,16,xavier_uniform_,Sigmoid,1200,5.960464477539062e-07,14.092917442321776
0,McMahan_CNN,16,kaiming_normal_,Sigmoid,1200,2.384185791015625e-07,12.746448397636414
0,McMahan_CNN,16,kaiming_uniform_,Sigmoid,1200,1.788139343261719e-07,12.714439690113068
0,Custom_ResNet,1,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.8191564679145813
0,Custom_ResNet,1,xavier_uniform_,Sigmoid,1200,5.960464477539064e-08,-0.8191548585891724
0,Custom_ResNet,1,kaiming_normal_,Sigmoid,1200,0.0,-0.8191564679145813
0,Custom_ResNet,1,kaiming_uniform_,Sigmoid,1200,0.0,-0.8191564679145813
0,Custom_ResNet,2,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.9875737726688384
0,Custom_ResNet,2,xavier_uniform_,Sigmoid,1200,0.0,-0.9875735938549042
0,Custom_ResNet,2,kaiming_normal_,Sigmoid,1200,0.0,-0.9875739514827728
0,Custom_ResNet,2,kaiming_uniform_,Sigmoid,1200,0.0,-0.9875739514827728
0,Custom_ResNet,4,xavier_normal_,Sigmoid,1200,0.0,-0.999739944934845
