Seed,Model_Architecture,Batch_Size,Init_Method,Activation,Iterations,Gradient_Loss,PSNR
0,Custom_ResNet,1,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.8191564679145813
0,Custom_ResNet,1,xavier_uniform_,Sigmoid,1200,5.960464477539065e-08,-0.8191548585891724
0,Custom_ResNet,1,kaiming_normal_,Sigmoid,1200,0.0,-0.8191564679145813
0,Custom_ResNet,1,kaiming_uniform_,Sigmoid,1200,0.0,-0.8191564679145813
0,Custom_ResNet,2,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.9875737726688384
0,Custom_ResNet,2,xavier_uniform_,Sigmoid,1200,0.0,-0.9875735938549042
0,Custom_ResNet,2,kaiming_normal_,Sigmoid,1200,0.0,-0.9875739514827728
0,Custom_ResNet,2,kaiming_uniform_,Sigmoid,1200,0.0,-0.9875739514827728
0,Custom_ResNet,4,xavier_normal_,Sigmoid,1200,0.0,-0.999739944934845
0,Custom_ResNet,4,xavier_uniform_,Sigmoid,1200,0.0,-0.9997395873069764
0,Custom_ResNet,4,kaiming_normal_,Sigmoid,1200,5.960464477539065e-08,-0.9997400045394896
0,Custom_ResNet,4,kaiming_uniform_,Sigmoid,1200,-1.1920928955078125e-07,-0.9997400045394896
0,Custom_ResNet,8,xavier_normal_,Sigmoid,1200,0.0,-0.9843933880329132
0,Custom_ResNet,8,xavier_uniform_,Sigmoid,1200,1.1920928955078125e-07,-0.984393298625946
0,Custom_ResNet,8,kaiming_normal_,Sigmoid,1200,5.960464477539065e-08,-0.9843933880329132
0,Custom_ResNet,8,kaiming_uniform_,Sigmoid,1200,0.0,-0.9843933880329132
0,Custom_ResNet,16,xavier_normal_,Sigmoid,1200,0.0,-1.053327951580286
0,Custom_ResNet,16,xavier_uniform_,Sigmoid,1200,5.960464477539065e-08,-1.053327951580286
0,Custom_ResNet,16,kaiming_normal_,Sigmoid,1200,0.0,-1.053327951580286
0,Custom_ResNet,16,kaiming_uniform_,Sigmoid,1200,-1.1920928955078125e-07,-1.053327951580286
1,Custom_ResNet,1,xavier_normal_,Sigmoid,1200,-1.1920928955078125e-07,-0.8155758380889893
1,Custom_ResNet,1,xavier_uniform_,Sigmoid,1200,0.0,-0.8155758380889893
1,Custom_ResNet,1,kaiming_normal_,Sigmoid,1200,0.0,-0.8155767917633057
1,Custom_ResNet,1,kaiming_uniform_,Sigmoid,1200,-1.1920928955078125e-07,-0.8155767917633057
1,Custom_ResNet,2,xavier_normal_,Sigmoid,1200,0.0,-1.0110796093940737
1,Custom_ResNet,2,xavier_uniform_,Sigmoid,1200,0.0,-1.0110797882080078
