Seed,Model_Architecture,Label,Gradient_Loss,PSNR
0,McMahan_CNN,DLG,0.005201935768127441,23.238792419433594
1,McMahan_CNN,DLG,0.002173781394958496,22.697139739990234
2,McMahan_CNN,DLG,0.0029257535934448242,23.270931243896484
3,McMahan_CNN,DLG,0.0008383393287658691,25.822479248046875
4,McMahan_CNN,DLG,0.00204390287399292,23.325454711914062

0,McMahan_CNN,iDLG,0.003108680248260498,23.542682647705078
1,McMahan_CNN,iDLG,0.0009121894836425781,27.858055114746094
2,McMahan_CNN,iDLG,0.0033155083656311035,23.597164154052734
3,McMahan_CNN,iDLG,0.0014622807502746582,26.772844314575195
4,McMahan_CNN,iDLG,0.0019927024841308594,24.04889678955078
